room_id,hour,day_of_week,is_weekend,month,lecture_scheduled,exam_period,is_holiday,timetable_strength,previous_occupancy,outside_temperature,weather_condition,preferred_temperature,manual_override,previous_ac_status,previous_fan_speed,previous_light_status,occupancy,ac_status,fan_speed,light_status,set_temperature
23,14,Saturday,true,March,10/19/2022,false,false,6,39,40,Cloudy,19,false,Off,Medium,Off,33,Off,Medium,Off,16
24,18,Sunday,true,November,7/23/2022,true,true,8,21,-2,Rainy,26,true,Off,High,On,54,On,Medium,Off,22
25,13,Saturday,false,April,2/11/2022,false,true,6,61,9,Snowy,29,false,Off,Low,On,84,Off,Medium,On,19
26,16,Friday,false,August,5/22/2022,false,true,7,61,24,Cloudy,26,true,Off,Medium,On,32,Off,Medium,Off,17
27,22,Friday,true,June,2/8/2022,false,false,9,22,20,Cloudy,16,true,On,Medium,On,37,Off,Low,On,22
28,13,Sunday,true,October,10/11/2022,false,false,9,40,11,Cloudy,22,true,On,Medium,On,3,Off,Low,Off,15
29,23,Tuesday,true,May,9/20/2022,true,false,9,13,40,Sunny,30,true,On,Low,On,64,On,Low,Off,22
30,17,Monday,true,January,11/28/2022,false,false,10,30,12,Snowy,26,false,Off,Medium,On,74,Off,Low,Off,23
31,8,Monday,false,August,3/28/2022,false,false,2,95,0,Sunny,22,false,Off,Medium,On,78,On,Medium,Off,28
32,9,Friday,true,August,8/9/2022,true,false,8,88,-5,Snowy,27,false,Off,High,Off,21,On,High,Off,22
33,0,Wednesday,false,September,3/11/2022,false,true,8,45,19,Sunny,29,false,Off,High,On,90,On,High,Off,16
34,19,Sunday,false,July,11/9/2022,true,true,2,85,30,Sunny,25,false,On,Low,On,64,Off,Low,On,23
35,20,Saturday,false,December,5/25/2022,true,false,8,54,6,Snowy,18,true,On,Medium,On,44,Off,High,On,26
36,20,Saturday,false,September,6/9/2022,false,false,9,70,-17,Sunny,15,false,On,Low,On,36,Off,Low,Off,26
37,5,Tuesday,false,December,4/16/2022,true,false,4,35,29,Sunny,22,true,Off,Medium,On,62,Off,High,On,16
38,0,Tuesday,true,February,1/9/2022,true,false,5,47,13,Snowy,15,true,On,Medium,Off,70,Off,Medium,On,18
39,22,Wednesday,false,August,11/22/2022,true,true,8,52,19,Rainy,27,true,Off,Low,On,90,Off,Low,Off,20
40,16,Sunday,true,January,5/12/2022,true,true,3,54,36,Cloudy,30,true,Off,Medium,Off,71,On,High,On,16
41,13,Saturday,true,February,8/13/2022,false,true,10,30,38,Snowy,20,true,On,High,Off,76,On,Medium,Off,23
42,15,Tuesday,false,December,6/9/2022,false,true,6,73,-4,Rainy,16,false,Off,High,Off,22,On,Medium,Off,18
43,10,Tuesday,false,June,1/7/2022,false,false,7,3,6,Cloudy,22,false,On,Low,On,7,Off,High,Off,24
44,23,Saturday,true,September,8/27/2022,false,true,5,95,-3,Sunny,16,true,On,Low,On,9,On,Low,Off,24
45,16,Monday,false,January,6/17/2022,false,true,2,57,18,Sunny,28,false,On,Medium,On,60,Off,Low,Off,20
46,19,Wednesday,false,September,8/26/2022,false,false,5,90,39,Snowy,21,true,On,Medium,Off,13,Off,High,Off,19
47,13,Monday,true,April,1/13/2022,false,false,8,93,15,Snowy,20,false,On,High,Off,46,Off,High,Off,16
48,16,Wednesday,false,July,6/25/2022,true,true,2,46,-20,Cloudy,28,true,On,High,On,28,On,Low,Off,28
49,15,Friday,false,April,2/11/2022,true,true,4,73,39,Cloudy,26,false,Off,Low,On,13,Off,High,On,22
50,19,Tuesday,false,December,5/2/2022,false,true,7,68,16,Cloudy,18,true,On,Medium,Off,31,On,High,Off,21
51,23,Wednesday,true,March,3/29/2022,true,true,9,7,4,Cloudy,23,false,On,High,Off,57,On,High,On,27
52,23,Sunday,true,August,3/28/2022,false,true,3,32,28,Sunny,20,true,Off,Low,On,8,Off,Low,On,26
53,11,Thursday,false,March,7/29/2022,true,false,10,74,34,Snowy,15,false,On,Medium,Off,90,Off,Low,On,25
54,12,Thursday,true,September,12/21/2022,true,false,1,0,-16,Rainy,27,true,On,Medium,On,90,Off,Medium,Off,30
55,4,Thursday,false,August,11/30/2022,true,false,3,31,30,Snowy,25,true,Off,Low,Off,53,Off,Low,Off,28
56,1,Sunday,false,December,9/12/2022,true,true,8,72,17,Cloudy,30,false,On,Medium,Off,55,Off,Low,On,22
57,5,Wednesday,false,October,7/2/2022,true,true,5,56,-11,Cloudy,28,true,On,Medium,On,48,On,Medium,On,19
58,16,Sunday,false,April,9/11/2022,false,true,4,92,15,Cloudy,15,false,Off,Low,On,45,Off,High,On,18
59,17,Thursday,true,September,9/30/2022,true,true,3,91,15,Cloudy,26,true,Off,Low,Off,61,Off,High,On,15
60,5,Wednesday,false,July,7/6/2022,false,false,10,65,26,Rainy,20,true,Off,High,Off,37,On,High,Off,18
61,2,Wednesday,true,June,6/28/2022,false,true,3,18,1,Snowy,27,false,Off,High,Off,26,On,Low,Off,28
62,22,Sunday,true,February,6/8/2022,false,true,6,43,33,Cloudy,24,false,Off,High,On,80,Off,Low,Off,17
63,21,Tuesday,false,March,6/11/2022,false,false,4,9,13,Rainy,25,false,Off,Medium,On,22,On,High,On,29
64,20,Friday,true,May,7/3/2022,true,false,7,34,33,Rainy,16,false,Off,High,On,34,On,Low,On,28
65,8,Monday,false,December,7/10/2022,true,true,8,61,17,Sunny,30,true,Off,High,Off,83,Off,Low,On,20
66,21,Monday,false,December,9/10/2022,true,true,6,81,17,Sunny,30,false,Off,Medium,On,6,Off,High,Off,18
67,10,Friday,false,December,4/15/2022,false,true,1,96,23,Sunny,24,false,Off,High,Off,54,On,High,Off,25
68,9,Sunday,false,July,10/3/2022,true,true,1,73,40,Snowy,26,false,Off,High,On,27,On,Low,Off,24
69,5,Saturday,true,July,10/20/2022,true,true,4,34,24,Sunny,25,true,Off,Medium,Off,0,On,Medium,On,28
70,21,Sunday,false,September,4/15/2022,false,true,8,93,28,Cloudy,19,false,Off,Medium,On,49,On,High,Off,28
71,6,Saturday,false,May,6/23/2022,true,false,5,35,38,Cloudy,23,true,Off,High,On,28,Off,High,On,22
72,21,Monday,true,November,3/28/2022,true,true,7,65,-18,Cloudy,28,false,Off,High,On,93,Off,High,Off,30
73,21,Sunday,true,November,1/5/2022,true,false,1,12,22,Snowy,24,false,On,High,On,76,Off,Low,On,25
74,7,Wednesday,false,February,10/3/2022,true,true,3,75,-11,Snowy,24,false,Off,Low,Off,41,Off,High,On,29
75,11,Tuesday,true,May,5/29/2022,true,true,3,15,30,Snowy,17,false,Off,Low,On,16,Off,Low,Off,30
76,11,Tuesday,true,August,1/24/2022,false,true,6,80,7,Rainy,20,true,On,Low,Off,49,Off,High,On,16
77,13,Tuesday,true,October,9/18/2022,true,true,8,19,-9,Snowy,26,true,On,High,Off,96,On,High,Off,17
78,22,Thursday,true,July,10/12/2022,true,true,6,49,-11,Rainy,27,false,On,High,On,64,On,High,Off,30
79,11,Monday,true,February,6/26/2022,false,false,2,10,35,Sunny,19,true,On,Low,On,94,On,Low,On,21
80,7,Saturday,true,June,10/7/2022,true,true,9,2,28,Rainy,17,false,Off,Low,Off,6,Off,Medium,Off,27
81,0,Tuesday,true,April,3/3/2022,true,true,1,1,-20,Rainy,20,true,Off,Medium,On,98,Off,Low,On,30
82,18,Wednesday,false,May,8/27/2022,true,false,5,60,-7,Rainy,18,false,On,Low,On,95,Off,Low,Off,27
83,6,Tuesday,true,May,3/13/2022,false,true,4,51,-9,Rainy,21,false,On,High,Off,79,On,Low,Off,21
84,0,Monday,false,October,12/6/2022,true,true,4,41,17,Rainy,15,true,Off,Medium,Off,12,Off,High,Off,21
85,9,Thursday,false,September,9/8/2022,false,true,6,3,12,Snowy,20,false,On,High,On,11,Off,High,Off,25
86,6,Wednesday,false,September,3/28/2022,true,true,5,35,-4,Rainy,21,true,Off,Medium,Off,80,Off,High,Off,17
87,12,Tuesday,false,April,4/14/2022,false,false,9,4,-16,Rainy,24,true,On,High,Off,38,Off,Medium,Off,27
88,6,Friday,false,June,4/10/2022,false,true,6,80,-4,Rainy,23,false,Off,High,On,3,On,High,On,17
89,20,Thursday,true,December,10/8/2022,true,true,8,11,38,Cloudy,15,true,On,Low,On,81,On,Medium,Off,29
90,13,Monday,false,October,5/12/2022,false,true,2,10,40,Snowy,23,false,Off,Low,On,46,On,High,Off,20
91,23,Saturday,false,February,2/14/2022,true,true,10,29,-1,Sunny,16,false,Off,High,Off,19,Off,Medium,Off,20
92,16,Sunday,false,August,7/21/2022,false,true,10,30,-19,Sunny,16,true,Off,Medium,On,24,Off,Medium,On,19
93,11,Sunday,false,March,1/22/2022,true,false,5,99,14,Rainy,30,false,On,High,On,30,On,Medium,Off,18
94,7,Friday,true,December,2/21/2022,true,true,8,30,37,Cloudy,21,true,On,Medium,On,0,On,Low,Off,22
95,2,Saturday,false,May,2/11/2022,true,true,1,8,20,Sunny,29,true,Off,Medium,Off,11,On,Low,Off,20
96,22,Wednesday,true,October,1/21/2022,true,true,5,44,7,Cloudy,28,true,On,Medium,On,43,On,Medium,On,22
97,18,Friday,true,January,9/21/2022,false,false,10,74,1,Rainy,22,false,Off,Low,On,24,On,High,Off,30
98,15,Sunday,true,November,2/1/2022,true,false,5,16,-9,Sunny,24,true,On,High,Off,15,On,Low,On,19
99,11,Friday,false,October,4/15/2022,false,false,1,100,25,Cloudy,29,false,Off,Medium,Off,61,On,Low,On,22
100,5,Sunday,true,June,8/22/2022,false,true,1,84,37,Snowy,25,true,On,Medium,Off,49,Off,Low,Off,23
101,8,Friday,false,May,10/14/2022,false,false,9,49,19,Cloudy,23,false,On,Medium,Off,69,Off,High,On,15
102,19,Friday,true,June,2/16/2022,true,false,7,31,1,Sunny,18,false,Off,Low,Off,31,On,Low,Off,22
103,18,Friday,false,March,6/19/2022,false,true,2,13,-8,Snowy,28,false,On,Low,On,19,On,Medium,On,26
104,15,Friday,false,October,12/6/2022,true,true,6,42,4,Sunny,27,false,On,High,Off,41,On,High,Off,29
105,4,Thursday,false,August,10/27/2022,true,true,8,45,-20,Rainy,18,false,Off,High,Off,80,On,Medium,Off,22
106,21,Monday,true,October,3/5/2022,false,false,8,97,2,Cloudy,15,false,On,Low,Off,59,Off,High,On,26
107,23,Wednesday,false,July,5/10/2022,false,false,1,89,32,Rainy,15,false,On,High,On,38,Off,Low,Off,21
108,3,Tuesday,false,August,9/12/2022,false,true,7,6,12,Snowy,20,true,Off,Low,Off,89,On,Low,On,30
109,6,Saturday,true,April,12/11/2022,true,true,4,72,14,Snowy,25,false,On,Medium,On,77,On,Low,On,17
110,10,Friday,true,January,3/24/2022,false,false,2,26,19,Sunny,23,false,On,Low,Off,17,On,High,On,21
111,20,Monday,false,April,1/30/2022,true,true,8,45,36,Rainy,25,false,On,Low,Off,49,Off,High,On,16
112,16,Saturday,false,April,7/26/2022,false,false,7,48,11,Rainy,23,false,On,High,On,92,Off,Low,Off,17
113,6,Wednesday,false,November,10/2/2022,true,false,8,99,28,Rainy,28,false,Off,Low,Off,62,Off,Medium,On,25
114,22,Monday,false,September,7/5/2022,true,false,3,32,11,Sunny,30,true,On,High,Off,48,On,High,On,25
115,7,Sunday,true,November,8/22/2022,false,true,7,53,23,Cloudy,28,true,Off,Low,Off,64,On,Low,Off,25
116,22,Saturday,true,December,3/26/2022,true,false,1,37,29,Sunny,28,false,On,Medium,On,9,Off,Low,On,16
117,9,Friday,true,February,7/20/2022,false,false,3,24,35,Cloudy,24,true,Off,Low,On,19,On,Low,Off,25
118,11,Tuesday,false,October,1/13/2022,true,true,1,58,-16,Cloudy,16,false,On,Medium,Off,48,Off,Medium,Off,20
119,22,Thursday,false,January,3/20/2022,false,true,7,99,9,Sunny,24,false,On,Low,Off,68,Off,Medium,On,19
120,17,Friday,true,December,8/23/2022,true,false,2,80,-9,Snowy,29,true,Off,Medium,Off,86,Off,Medium,On,17
121,22,Sunday,false,July,7/6/2022,true,false,2,5,24,Sunny,20,true,Off,High,Off,40,On,High,On,26
122,17,Thursday,true,May,6/28/2022,true,false,8,20,17,Rainy,21,false,On,Medium,Off,3,Off,Low,On,24
123,5,Friday,false,December,7/14/2022,false,true,8,19,16,Cloudy,24,true,On,Low,On,74,Off,High,On,30
124,10,Sunday,true,October,10/20/2022,true,true,7,96,-9,Cloudy,26,false,Off,Medium,On,25,On,Low,On,28
125,7,Tuesday,false,December,11/20/2022,false,false,2,50,10,Sunny,22,false,On,Medium,On,45,On,Medium,Off,17
126,17,Tuesday,false,June,2/3/2022,false,true,7,49,-15,Sunny,24,false,Off,Medium,On,39,On,Low,Off,15
127,12,Saturday,false,December,11/28/2022,false,true,4,49,26,Snowy,26,false,Off,Medium,Off,85,On,Medium,Off,19
128,16,Friday,true,January,8/26/2022,true,false,2,44,-1,Rainy,16,true,Off,High,Off,39,On,Medium,On,28
129,19,Tuesday,true,November,3/12/2022,false,false,1,11,11,Sunny,15,false,On,High,Off,78,Off,Medium,On,16
130,17,Tuesday,false,August,5/27/2022,false,false,7,30,9,Cloudy,25,true,Off,Low,Off,65,On,High,Off,15
131,10,Saturday,false,June,9/7/2022,true,false,8,75,27,Rainy,24,false,Off,Low,Off,88,On,High,Off,15
132,19,Wednesday,true,August,10/25/2022,false,false,4,29,-11,Sunny,24,true,On,High,Off,92,On,Medium,Off,23
133,20,Tuesday,true,February,3/12/2022,true,false,10,100,36,Cloudy,25,true,On,Low,On,44,Off,Low,On,27
134,14,Saturday,true,June,3/15/2022,true,true,7,78,-10,Cloudy,25,true,Off,Medium,Off,33,On,Low,On,29
135,3,Tuesday,true,July,1/10/2022,false,false,3,30,31,Snowy,22,false,Off,Medium,Off,80,On,High,On,27
136,10,Sunday,false,November,12/30/2022,true,true,4,84,-15,Sunny,18,false,On,High,On,97,Off,Medium,Off,24
137,2,Saturday,true,December,7/29/2022,false,false,8,34,-12,Snowy,30,true,Off,Medium,Off,99,Off,High,On,22
138,13,Saturday,true,August,4/2/2022,true,true,10,55,-10,Sunny,25,false,On,Low,Off,9,Off,Low,Off,30
139,17,Saturday,false,August,11/18/2022,false,true,8,7,-15,Rainy,30,false,On,Low,On,26,Off,High,Off,24
140,15,Tuesday,true,October,2/22/2022,false,true,5,9,28,Sunny,21,true,Off,High,On,1,Off,Low,On,21
141,15,Monday,false,July,12/19/2022,true,false,1,76,4,Cloudy,15,true,Off,Medium,Off,13,Off,Medium,Off,23
142,19,Monday,true,December,7/25/2022,false,false,7,56,-13,Sunny,19,false,On,Low,Off,91,Off,High,Off,25
143,17,Tuesday,true,January,4/27/2022,true,true,7,74,4,Sunny,24,true,On,Medium,Off,53,Off,Low,On,24
144,6,Tuesday,false,February,3/20/2022,false,true,2,52,-13,Sunny,18,true,Off,High,On,63,Off,Medium,On,16
145,18,Thursday,false,November,3/4/2022,false,false,9,60,18,Cloudy,20,true,Off,Low,Off,92,On,Medium,On,29
146,16,Tuesday,true,March,1/18/2022,true,true,5,63,2,Sunny,16,true,On,Medium,On,92,Off,Low,Off,24
147,8,Friday,false,November,8/16/2022,false,true,2,40,28,Sunny,25,true,Off,Low,On,65,On,Low,Off,24
148,1,Friday,false,November,9/30/2022,true,false,5,21,40,Rainy,21,false,On,High,Off,87,On,Low,On,29
149,4,Monday,true,November,7/9/2022,false,true,5,93,-2,Rainy,27,false,On,High,On,66,On,Medium,Off,27
150,2,Sunday,true,October,7/4/2022,false,true,8,58,28,Rainy,27,true,On,Medium,On,45,Off,Medium,On,22
151,6,Saturday,false,December,11/5/2022,true,false,4,86,-8,Rainy,29,false,Off,Low,On,65,Off,Medium,Off,28
152,12,Thursday,true,January,2/21/2022,true,true,5,36,-7,Cloudy,17,false,Off,Low,Off,18,On,Medium,On,27
153,1,Tuesday,false,January,5/7/2022,false,true,1,26,4,Snowy,17,true,Off,High,Off,2,Off,Medium,On,28
154,22,Friday,true,March,3/31/2022,false,true,1,17,22,Snowy,25,true,On,High,Off,12,On,High,Off,27
155,7,Wednesday,false,March,4/18/2022,true,true,3,63,-17,Cloudy,15,true,Off,Medium,On,67,Off,Low,Off,17
156,20,Tuesday,false,November,1/9/2022,true,true,1,84,32,Rainy,23,false,On,Medium,Off,59,On,Medium,On,30
157,13,Wednesday,true,August,4/12/2022,false,true,4,23,-11,Rainy,17,false,Off,Low,On,7,Off,Medium,On,19
158,17,Thursday,false,October,7/2/2022,true,true,8,0,25,Rainy,25,false,Off,Medium,On,13,On,High,On,16
159,10,Sunday,true,April,8/16/2022,false,true,5,14,-18,Sunny,25,true,On,Medium,Off,94,Off,High,Off,24
160,18,Friday,false,September,3/23/2022,false,false,5,96,40,Rainy,30,true,Off,Medium,Off,57,Off,High,Off,21
161,1,Sunday,false,January,12/6/2022,false,true,9,73,-14,Cloudy,28,false,On,Low,On,72,On,Low,On,19
162,23,Wednesday,false,March,6/18/2022,true,true,9,99,23,Sunny,16,false,On,Medium,On,86,On,Medium,Off,23
163,10,Tuesday,true,August,3/15/2022,false,false,2,13,-8,Rainy,19,false,Off,Medium,Off,100,On,High,Off,16
164,4,Sunday,false,January,6/5/2022,true,false,9,75,40,Rainy,30,false,On,High,On,55,Off,High,Off,15
165,5,Saturday,true,September,4/5/2022,false,true,7,15,11,Snowy,18,false,On,Medium,Off,8,On,Low,On,25
166,8,Wednesday,false,September,2/3/2022,false,false,2,81,31,Snowy,30,true,Off,Low,Off,28,On,High,On,22
167,22,Wednesday,false,February,1/12/2022,true,false,10,93,25,Sunny,18,false,Off,Low,Off,18,Off,High,On,27
168,20,Wednesday,false,January,3/23/2022,true,true,2,38,-18,Cloudy,30,true,Off,High,Off,68,On,Low,Off,25
169,10,Monday,false,May,8/22/2022,true,true,10,52,14,Cloudy,28,true,Off,High,On,70,Off,High,On,29
170,13,Tuesday,true,June,11/5/2022,false,false,6,83,-12,Snowy,28,true,Off,Low,On,74,On,Low,Off,27
171,17,Saturday,true,January,6/24/2022,true,true,5,13,-14,Snowy,26,false,On,Low,On,52,Off,High,On,23
172,18,Wednesday,true,March,9/21/2022,false,true,3,43,8,Snowy,25,true,On,Medium,On,23,Off,Low,On,30
173,23,Saturday,false,June,8/3/2022,true,false,1,19,-13,Sunny,17,true,Off,High,On,84,Off,Medium,On,25
174,13,Tuesday,true,May,12/14/2022,true,true,2,93,27,Snowy,28,false,Off,Low,On,92,Off,Medium,On,30
175,7,Thursday,false,October,10/4/2022,false,true,9,3,37,Snowy,22,false,On,High,On,59,Off,Low,On,17
176,7,Friday,true,February,12/22/2022,true,true,10,50,-15,Cloudy,15,true,On,High,Off,13,On,High,On,20
177,17,Tuesday,true,January,8/28/2022,false,true,3,6,-1,Cloudy,18,true,Off,Medium,On,76,Off,Low,Off,20
178,18,Sunday,false,November,11/25/2022,false,false,4,88,5,Sunny,19,true,On,High,On,5,On,Medium,On,18
179,14,Monday,true,October,5/2/2022,true,true,7,36,-18,Sunny,29,false,On,High,Off,69,Off,High,On,17
180,6,Monday,false,March,6/23/2022,false,true,7,93,-13,Rainy,19,false,Off,High,Off,88,On,Low,On,23
181,7,Friday,true,June,6/16/2022,true,true,3,87,6,Cloudy,22,true,On,Medium,On,55,On,Low,On,20
182,8,Saturday,false,March,12/16/2022,false,true,7,62,12,Snowy,30,true,Off,High,On,66,On,Medium,On,30
183,7,Wednesday,false,March,11/15/2022,false,true,10,17,24,Snowy,25,false,On,Medium,Off,28,Off,High,Off,19
184,4,Saturday,false,February,7/2/2022,false,false,6,37,11,Snowy,24,true,Off,Low,Off,87,Off,Low,On,27
185,10,Wednesday,true,October,12/4/2022,true,true,9,27,32,Rainy,28,true,On,Medium,Off,36,On,Medium,Off,23
186,11,Friday,false,March,4/9/2022,false,true,2,12,-2,Sunny,16,true,Off,Low,Off,10,On,Medium,On,21
187,11,Wednesday,true,August,9/22/2022,true,false,4,28,37,Snowy,25,false,On,High,On,26,On,Low,Off,16
188,14,Sunday,true,January,11/29/2022,true,true,8,70,-2,Cloudy,17,true,Off,High,Off,57,On,Medium,On,18
189,20,Monday,false,December,12/12/2022,false,false,6,66,4,Snowy,22,false,On,High,Off,14,Off,Low,On,22
190,10,Thursday,false,July,6/25/2022,true,true,2,39,33,Sunny,22,true,Off,Medium,On,87,Off,Medium,On,27
191,20,Monday,false,September,1/1/2022,true,true,8,2,37,Sunny,15,false,Off,Low,On,44,On,Low,Off,25
192,3,Wednesday,false,May,4/7/2022,false,false,6,63,-8,Cloudy,22,true,Off,Medium,Off,99,Off,High,On,20
193,7,Tuesday,true,November,11/22/2022,false,false,5,54,-2,Snowy,23,false,Off,Medium,Off,15,Off,High,On,27
194,23,Monday,false,February,4/12/2022,false,false,7,13,-5,Rainy,18,false,Off,Medium,Off,30,Off,Low,On,30
195,18,Monday,true,July,1/28/2022,true,true,8,0,-13,Cloudy,23,false,On,Medium,On,51,On,Low,Off,19
196,0,Friday,true,August,1/8/2022,true,true,3,0,-9,Sunny,26,false,Off,High,On,6,On,Low,On,28
197,16,Saturday,true,December,7/12/2022,false,true,9,66,7,Cloudy,22,false,Off,Low,Off,74,On,Medium,Off,17
198,3,Sunday,false,April,12/3/2022,false,true,5,59,-12,Rainy,21,false,On,Medium,Off,46,Off,Low,Off,17
199,10,Sunday,false,March,9/6/2022,false,false,9,88,35,Sunny,29,false,Off,Medium,On,86,On,High,On,30
200,19,Thursday,false,January,11/8/2022,true,false,3,15,-14,Rainy,15,true,On,High,Off,70,Off,Low,On,18
201,23,Friday,true,June,8/5/2022,true,false,10,94,12,Cloudy,28,true,On,Medium,On,95,Off,High,On,22
202,14,Thursday,true,September,5/3/2022,true,true,3,63,-14,Snowy,15,false,Off,Low,On,89,Off,Low,On,16
203,2,Saturday,true,December,5/17/2022,true,true,6,24,-3,Rainy,21,false,On,Medium,On,68,On,High,On,18
204,11,Tuesday,true,September,9/2/2022,false,true,6,24,12,Sunny,27,false,On,Low,Off,80,Off,Medium,On,26
205,20,Saturday,true,February,1/25/2022,false,true,2,17,-11,Sunny,18,true,On,Medium,On,39,On,High,Off,17
206,21,Monday,true,December,4/16/2022,false,true,8,29,-14,Rainy,20,false,Off,Medium,On,6,On,Low,On,23
207,16,Sunday,true,August,3/11/2022,false,false,1,80,-11,Snowy,24,false,Off,High,Off,99,Off,High,On,21
208,23,Tuesday,false,May,9/28/2022,true,false,6,75,7,Cloudy,18,false,Off,Medium,Off,48,Off,Low,Off,25
209,9,Tuesday,true,April,2/5/2022,true,true,6,97,-13,Cloudy,15,true,Off,Medium,On,19,Off,High,On,17
210,17,Wednesday,true,January,7/4/2022,true,true,2,60,16,Snowy,30,false,Off,High,On,0,On,High,On,28
211,9,Tuesday,false,February,9/22/2022,true,false,8,82,-18,Rainy,17,true,On,Medium,On,30,On,High,On,21
212,19,Friday,false,July,10/2/2022,false,true,10,14,15,Rainy,18,false,Off,High,On,45,On,Low,On,26
213,15,Sunday,true,July,11/18/2022,false,true,2,49,27,Rainy,16,false,On,Low,Off,51,Off,High,Off,16
214,4,Thursday,true,July,8/22/2022,true,true,4,24,7,Snowy,28,true,On,Medium,On,23,Off,Low,Off,28
215,22,Friday,false,February,2/24/2022,false,false,10,97,33,Cloudy,26,false,On,Medium,Off,98,Off,High,On,27
216,10,Friday,false,December,2/14/2022,false,false,8,28,8,Cloudy,15,true,Off,Medium,On,0,On,Low,On,18
217,18,Friday,false,January,10/9/2022,true,true,1,51,-4,Snowy,27,true,Off,Medium,Off,98,On,Medium,Off,21
218,17,Wednesday,true,May,12/7/2022,false,true,9,6,31,Sunny,28,false,Off,High,On,58,On,Medium,On,30
219,1,Saturday,true,May,5/6/2022,true,false,2,56,-16,Cloudy,29,false,Off,Low,On,18,Off,High,On,16
220,9,Tuesday,false,October,1/29/2022,true,true,7,63,-20,Cloudy,25,true,On,Medium,Off,53,Off,Medium,Off,22
221,23,Tuesday,false,April,9/14/2022,false,true,6,49,29,Rainy,18,false,On,High,On,8,On,Low,On,16
222,7,Saturday,false,March,12/3/2022,true,false,7,48,30,Snowy,21,false,Off,High,Off,61,Off,Medium,Off,30
223,3,Wednesday,true,August,1/10/2022,false,true,3,61,-18,Cloudy,15,false,On,Low,On,84,On,High,Off,23
224,3,Thursday,true,March,7/28/2022,false,true,6,17,-6,Cloudy,30,false,On,Low,Off,3,On,High,Off,30
225,3,Friday,true,February,1/20/2022,true,true,2,79,26,Rainy,22,false,Off,Low,Off,38,Off,Low,On,21
226,19,Saturday,false,May,7/24/2022,false,true,6,51,7,Sunny,29,false,On,High,On,79,On,High,On,15
227,2,Monday,false,October,3/14/2022,true,true,8,19,-1,Cloudy,29,false,On,Low,Off,54,On,High,On,23
228,7,Sunday,true,April,1/25/2022,true,false,7,8,6,Sunny,26,false,Off,Medium,Off,100,On,Low,On,17
229,0,Monday,true,September,6/10/2022,false,false,7,17,32,Sunny,27,false,Off,Low,On,33,Off,Low,Off,15
230,12,Friday,true,July,3/21/2022,true,false,6,49,33,Sunny,25,true,Off,Medium,On,69,On,Medium,Off,22
